|NDB_No|FdGrp_Cd|Long_Desc|CAFFN
4366|14366|1400|Beverages, tea, instant, unsweetened, powder|5714.0
4279|14214|1400|Beverages, coffee, instant, regular, powder|3142.0
4371|14375|1400|Beverages, tea, instant, sweetened with sodium saccharin, lemon-flavored, powder|2240.0
4287|14222|1400|Beverages, coffee, instant, with chicory|2063.0
4368|14368|1400|Beverages, tea, instant, lemon, unsweetened|1794.0
4272|14203|1400|Beverages, coffee, instant, regular, half the caffeine|1571.0
6271|19268|1900|Candies, dark chocolate coated coffee beans|839.0
6278|19279|1900|Candies, milk chocolate coated coffee beans|800.0
4289|14224|1400|Beverages, coffee, instant, mocha, sweetened|360.0
6194|19165|1900|Cocoa, dry powder, unsweetened|230.0
4277|14210|1400|Beverages, coffee, brewed, espresso, restaurant-prepared|212.0
6420|19859|1900|Cocoa, dry powder, hi-fat or breakfast, plain|197.0
4362|14353|1400|Beverages, tea, instant, decaffeinated, unsweetened|169.0
4426|14548|1400|Beverages, tea, instant, lemon, with added ascorbic acid|124.0
4283|14218|1400|Beverages, coffee, instant, decaffeinated, powder|122.0
6451|19903|1900|Chocolate, dark, 60-69% cacao solids|86.0
6111|19078|1900|Baking chocolate, unsweetened, squares|80.0
6452|19904|1900|Chocolate, dark, 70-85% cacao solids|80.0
6195|19166|1900|Cocoa, dry powder, unsweetened, processed with alkali|78.0
6421|19860|1900|Cocoa, dry powder, hi-fat or breakfast, processed with alkali|72.0
6114|19081|1900|Candies, sweet chocolate|66.0
6113|19080|1900|Candies, semisweet chocolate|62.0
6386|19701|1900|Candies, semisweet chocolate, made with butter|62.0
4364|14356|1400|Beverages, tea, instant, decaffeinated, lemon, diet|57.0
8685|43260|100|Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted|52.0
6110|19077|1900|Baking chocolate, unsweetened, liquid|47.0
6453|19905|1900|Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)|47.0
6450|19902|1900|Chocolate, dark, 45- 59% cacao solids|43.0
4276|14209|1400|Beverages, coffee, brewed, prepared with tap water|40.0
4165|14060|1400|Beverages, Energy Drink with carbonated water and high fructose corn syrup|38.0
4352|14317|1400|Beverages, malted drink mix, chocolate, powder|37.0
4369|14370|1400|Beverages, tea, instant, lemon, sweetened, powder|35.0
4138|14026|1400|Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12|34.0
4420|14538|1400|Beverages, Cocoa mix, low calorie, powder, with added calcium, phosphorus, aspartame, without added sodium or vitamin A|34.0
4142|14030|1400|Beverages, THE COCA-COLA COMPANY, NOS energy drink, Original, grape, loaded cherry, charged citrus, fortified with vitamins B6 and B12|34.0
4458|14626|1400|Beverages, Energy drink, FULL THROTTLE|33.0
4459|14627|1400|Beverages, Energy Drink, Monster, fortified with vitamins C, B2, B3, B6, B12|33.0
4461|14629|1400|Beverages, Energy drink, ROCKSTAR|33.0
4462|14630|1400|Beverages, Energy drink, ROCKSTAR, sugar free|33.0
4166|14061|1400|Beverages, Energy Drink, sugar free|32.0
4457|14625|1400|Beverages, Energy drink, AMP|31.0
4135|14022|1400|Beverages, MONSTER energy drink, low carb|30.0
4460|14628|1400|Beverages, Energy drink, AMP, sugar free|30.0
