row      NDB_No  FdGrp_Cd                                          Long_Desc    DHA
6503   20035      2000       Quinoa, uncooked (Chenopodium quinoa Willd.)  0.047
5687   18175      1800    Cookies, ladyfingers, with lemon juice and rind  0.036
5889   18423      1800  Cookies, ladyfingers, without lemon juice and ...  0.036
6197   19169      1900                              Egg custards, dry mix  0.020
5743   18237      1800             Cream puff shell, prepared from recipe  0.017
5656   18134      1800                 Cake, sponge, prepared from recipe  0.015
6586   20137      2000         Quinoa, cooked (Chenopodium quinoa Willd.)  0.015
6001   18953      1800  Bread, salvadoran sweet cheese (quesadilla sal...  0.014
5751   18246      1800  Danish pastry, fruit, enriched (includes apple...  0.012
5583   18027      1800                                         Bread, egg  0.012
6206   19182      1900  Desserts, mousse, chocolate, prepared-from-recipe  0.010
5772   18269      1800  French toast, prepared from recipe, made with ...  0.010
5760   18256      1800      Doughnuts, yeast-leavened, with jelly filling  0.010
5655   18133      1800                Cake, sponge, commercially prepared  0.009
8099   28297      1800  Cake, snack cakes, not chocolate, with icing o...  0.009
5771   18268      1800                French toast, frozen, ready-to-heat  0.009
6017   18969      1800  Cream puff, eclair, custard or cream filled, iced  0.009
5818   18325      1800                   Pie, pecan, prepared from recipe  0.008
3309   11672      1100                                    Potato pancakes  0.008
5759   18255      1800  Doughnuts, yeast-leavened, glazed, enriched (i...  0.008
5730   18224      1800                               Crackers, rusk toast  0.008
5777   18274      1800  Muffins, blueberry, commercially prepared (Inc...  0.008
5872   18400      1800                     Crackers, matzo, egg and onion  0.008
5983   18933      1800  Waffle, buttermilk, frozen, ready-to-heat, toa...  0.008
5669   18155      1800   Cookies, butter, commercially prepared, enriched  0.007
5580   18023      1800  Bread, cornbread, dry mix, prepared with 2% mi...  0.007
5649   18120      1800  Cake, pound, commercially prepared, butter (in...  0.007
8098   28296      1800  Cake, snack cakes, creme-filled, chocolate wit...  0.007
5755   18250      1800     Doughnuts, cake-type, plain, sugared or glazed  0.007
3300   11658      1100                                    Spinach souffle  0.007
5887   18421      1800  Cookies, butter, commercially prepared, unenri...  0.007
6126   19094      1900  Desserts, flan, caramel custard, prepared-from...  0.007
5982   18932      1800         Waffles, buttermilk, frozen, ready-to-heat  0.007
6196   19168      1900  Desserts, egg custard, baked, prepared-from-re...  0.007
6002   18954      1800    Bread, pound cake type, pan de torta salvadoran  0.007
5842   18355      1800                                Sweet rolls, cheese  0.006
5852   18367      1800               Waffles, plain, prepared from recipe  0.006
5813   18320      1800         Pie, lemon meringue, commercially prepared  0.006
5811   18317      1800            Pie, egg custard, commercially prepared  0.006
5791   18292      1800     Pancakes, plain, dry mix, incomplete, prepared  0.006
5637   18103      1800                                 Coffeecake, cheese  0.006
5639   18105      1800   Coffeecake, creme-filled with chocolate frosting  0.006
5650   18121      1800  Cake, pound, commercially prepared, other than...  0.006
5660   18141      1800  Cake, yellow, commercially prepared, with vani...  0.006
5668   18154      1800            Cookies, brownies, prepared from recipe  0.006
3298   11656      1100                        Corn pudding, home prepared  0.006
8150   28348      1800                               Rolls, dinner, sweet  0.006
5884   18418      1800  Cake, pound, commercially prepared, other than...  0.006
5869   18390      1800         Pancakes, buttermilk, prepared from recipe  0.005
5883   18417      1800  Coffeecake, cinnamon with crumb topping, comme...  0.005
5989   18940      1800  Muffin, blueberry, commercially prepared, low-fat  0.005
5814   18321      1800          Pie, lemon meringue, prepared from recipe  0.005
5663   18146      1800  Cake, yellow, prepared from recipe without fro...  0.005
6316   19333      1900  Pudding, lemon, dry mix, regular, prepared wit...  0.005
5699   18188      1800  Cookies, peanut butter, refrigerated dough, baked  0.005
5831   18344      1800                                 Rolls, dinner, egg  0.005
5718   18212      1800                 Cookies, vanilla wafers, lower fat  0.005
5584   18028      1800                                Bread, egg, toasted  0.005
5638   18104      1800  Coffeecake, cinnamon with crumb topping, comme...  0.005
5821   18328      1800           Pie, vanilla cream, prepared from recipe  0.005
5635   18101      1800  Cake, chocolate, prepared from recipe without ...  0.005
5745   18240      1800                                  Croissants, apple  0.005
5664   18147      1800                   Cheesecake commercially prepared  0.005
5797   18300      1800  Pancakes, whole-wheat, dry mix, incomplete, pr...  0.005
5782   18280      1800                   Muffins, corn, dry mix, prepared  0.005
5724   18218      1800                               Crackers, matzo, egg  0.005
5792   18293      1800              Pancakes, plain, prepared from recipe  0.005
6558   20097      2000             Pasta, homemade, made with egg, cooked  0.004
5801   18304      1800            Pie, banana cream, prepared from recipe  0.004
5577   18019      1800  Bread, banana, prepared from recipe, made with...  0.004
5793   18294      1800          Pancakes, blueberry, prepared from recipe  0.004
5901   18435      1800               Danish pastry, raspberry, unenriched  0.004
5899   18433      1800                   Danish pastry, lemon, unenriched  0.004
5897   18431      1800  Danish pastry, fruit, unenriched (includes app...  0.004
6121   19089      1900                          Ice creams, vanilla, rich  0.004
5843   18356      1800  Sweet rolls, cinnamon, commercially prepared w...  0.004
5677   18164      1800  Cookies, chocolate chip, refrigerated dough, b...  0.004
5676   18163      1800        Cookies, chocolate chip, refrigerated dough  0.004
5642   18108      1800  Coffeecake, cinnamon with crumb topping, dry m...  0.004
5773   18270      1800                 Hush puppies, prepared from recipe  0.004
5820   18327      1800                 Pie, pumpkin, prepared from recipe  0.003
5875   18403      1800    Waffles, plain, frozen, ready -to-heat, toasted  0.003
6198   19170      1900    Egg custards, dry mix, prepared with whole milk  0.003
6225   19205      1900       Egg custards, dry mix, prepared with 2% milk  0.003
5870   18396      1800  Rolls, dinner, plain, prepared from recipe, ma...  0.003
5868   18388      1800  Muffins, wheat bran, toaster-type with raisins...  0.003
5564   18003      1800                                        Bagels, egg  0.003
5630   18090      1800      Cake, boston cream pie, commercially prepared  0.003
5646   18116      1800            Cake, gingerbread, prepared from recipe  0.003
5678   18165      1800  Cookies, chocolate chip, prepared from recipe,...  0.003
5695   18184      1800  Cookies, oatmeal, prepared from recipe, with r...  0.003
5700   18189      1800       Cookies, peanut butter, prepared from recipe  0.003
5713   18206      1800          Cookies, sugar, refrigerated dough, baked  0.003
8107   28305      1800                       Pancakes, plain, reduced fat  0.003
5752   18247      1800  Danish pastry, nut (includes almond, raisin nu...  0.003
5758   18254      1800      Doughnuts, yeast-leavened, with creme filling  0.003
5776   18273      1800  Muffins, plain, prepared from recipe, made wit...  0.003
5780   18278      1800  Muffins, blueberry, prepared from recipe, made...  0.003
5784   18282      1800  Muffins, corn, prepared from recipe, made with...  0.003
5851   18365      1800              Waffles, plain, frozen, ready-to-heat  0.003
5862   18377      1800  Cookies, oatmeal, prepared from recipe, withou...  0.003
5863   18378      1800  Cookies, chocolate chip, prepared from recipe,...  0.003
