|NDB_No|FdGrp_Cd|Long_Desc|FE
290|2042|200|Spices, thyme, dried (Thymus vulgaris)|123.6
252|2003|200|Spices, basil, dried (Ocimum basilicum)|89.8
307|2066|200|Spearmint, dried|87.47
272|2023|200|Spices, marjoram, dried (Origanum majorana)|82.71
8291|35009|3500|Whale, beluga, meat, dried (Alaska Native) (Delphinapterus leucas)|72.35
1983|8504|800|Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes|67.67
452|3193|300|Babyfood, cereal, oatmeal, with honey, dry|67.23
8215|31019|1100|Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry (Chondrus crispus)|66.38
263|2014|200|Spices, cumin seed (Cuminum cyminum)|66.36
448|3189|300|Babyfood, cereal, oatmeal, dry fortified|64.07
1790|8028|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes|62.1
1821|8077|800|Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL|60.0
1808|8058|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19|60.0
291|2043|200|Spices, turmeric, ground (Curcuma longa L.)|55.0
3282|11625|1100|Parsley, freeze-dried|53.9
453|3194|300|Babyfood, cereal, rice, dry fortified|53.01
8326|35055|3500|Seal, bearded (Oogruk), meat, dried (Alaska Native)|49.6
1962|8451|800|Cereals, QUAKER, Quick Oats with Iron, Dry|49.45
266|2017|200|Spices, dill weed, dried (Anethum graveolens)|48.78
8624|42285|300|Babyfood, cereal, brown rice, dry, instant|47.6
442|3181|300|Babyfood, cereal, barley, dry fortified|47.5
463|3212|300|Babyfood, cereal, rice, with bananas, dry|47.5
445|3186|300|Babyfood, cereal, mixed, with bananas, dry|47.5
449|3190|300|Babyfood, cereal, oatmeal, with bananas, dry|47.5
462|3211|300|Babyfood, cereal, high protein, with apple and orange, dry|47.5
444|3185|300|Babyfood, cereal, mixed, dry fortified|47.5
443|3184|300|Babyfood, cereal, whole wheat, with apples, dry fortified|45.0
256|2007|200|Spices, celery seed (Apium graveolens)|44.9
3794|13333|1300|Beef, variety meats and by-products, spleen, raw|44.55
8346|35079|3500|Walrus, meat, dried (Alaska Native) (Odohenus rosmarus)|43.0
253|2004|200|Spices, bay leaf (Laurus nobilis)|43.0
1875|8177|800|Cereals, MALT-O-MEAL, chocolate, dry|42.88
261|2012|200|Spices, coriander leaf, dried (Coriandrum sativum)|42.46
1959|8444|800|Cereals, QUAKER, Instant Grits, Redeye Gravy & Country Ham flavor, dry|42.03
5312|17214|1700|Lamb, variety meats and by-products, spleen, raw|41.89
2082|8675|800|Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey & almonds|41.38
1975|8488|800|Cereals, MALT-O-MEAL, Farina Hot Wheat Cereal, dry|40.93
3795|13334|1300|Beef, variety meats and by-products, spleen, cooked, braised|39.36
1832|8092|800|Cereals, QUAKER, corn grits, instant, plain, dry|38.75
5313|17215|1700|Lamb, variety meats and by-products, spleen, cooked, braised|38.67
1984|8505|800|Cereals ready-to-eat, RALSTON Corn Biscuits|38.37
2057|8643|800|Cereals ready-to-eat, GENERAL MILLS, Honey KIX|38.2
1961|8450|800|Cereals, QUAKER, Instant Grits, Ham 'n' Cheese flavor, dry|38.2
288|2039|200|Spices, savory, ground (Satureja hortensis)|37.88
8752|43529|300|Babyfood, rice and apples, dry|37.0
251|2002|200|Spices, anise seed (Pimpinella anisum)|36.96
276|2027|200|Spices, oregano, dried (Origanum vulgare)|36.8
6199|19171|1900|Cocoa, dry powder, unsweetened, HERSHEY'S European Style Cocoa|36.0
1927|8318|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART START Strong Heart Antioxidants Cereal|36.0
283|2034|200|Spices, poultry seasoning|35.3
8763|43570|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted|34.82
1974|8487|800|Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal|34.29
1987|8508|800|Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commodity brands)|34.06
1904|8247|800|Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran|34.0
1972|8481|800|Cereals ready-to-eat, MALT-O-MEAL, HONEY GRAHAM SQUARES|33.81
8608|42240|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds|33.8
268|2019|200|Spices, fenugreek seed (Trigonella foenum-graecum)|33.53
1840|8104|800|Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry|33.39
1829|8089|800|Cereals ready-to-eat, GENERAL MILLS, WHEATIES|33.3
2078|8671|800|Cereals ready-to-eat, GENERAL MILLS, Dulce De Leche CHEERIOS|33.29
1812|8064|800|Cereals ready-to-eat, GENERAL MILLS, Rice CHEX|33.29
1781|8013|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS|33.17
8403|35175|3500|Seal, bearded (Oogruk), meat, partially dried (Alaska Native)|33.0
1789|8025|800|Cereals ready-to-eat, RALSTON CRISP RICE|32.73
289|2041|200|Spices, tarragon, dried (Artemisia dracunculus)|32.3
1820|8074|800|Cereals ready-to-eat, RALSTON TASTEEOS|32.14
2092|8685|800|Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal|32.11
2012|8573|800|Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry|32.02
1803|8048|800|Cereals ready-to-eat, GENERAL MILLS, KIX|32.0
257|2008|200|Spices, chervil, dried (Anthriscus cerefolium)|31.95
1865|8157|800|Cereals ready-to-eat, wheat, puffed, fortified|31.7
1864|8156|800|Cereals ready-to-eat, rice, puffed, fortified|31.7
1976|8489|800|Cereals, MALT-O-MEAL, Maple & Brown Sugar Hot Wheat Cereal, dry|31.29
2034|8598|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, HONEY CLUSTERS|31.2
1970|8476|800|Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS|31.03
1785|8018|800|Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN|30.98
1845|8116|800|Cereals, MALT-O-MEAL, original, plain, dry|30.86
1824|8082|800|Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX|30.6
965|5143|500|Duck, domesticated, liver, raw|30.53
972|5150|500|Goose, liver, raw|30.53
1813|8065|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES|30.42
1960|8449|800|Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, dry|30.38
1835|8096|800|Cereals, QUAKER, Instant Grits, Country Bacon flavor, dry|30.38
1834|8094|800|Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry|30.38
1856|8138|800|Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS|30.0
2020|8582|800|Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER|30.0
2063|8653|800|Cereals ready-to-eat, KELLOGG'S RICE KRISPIES, Gluten Free|30.0
1894|8221|800|Cereals, QUAKER, Instant Grits, Butter flavor, dry|30.0
2083|8676|800|Cereals ready-to-eat, MALT-O-MEAL, Honey Nut SCOOTERS|30.0
1979|8494|800|Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS|30.0
1928|8319|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, bite size|30.0
1929|8346|800|Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH|30.0
1775|8002|800|Cereals ready-to-eat, POST, ALPHA-BITS|30.0
1930|8347|800|Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH|30.0
