Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
290     2042       200             Spices, thyme, dried (Thymus vulgaris)  123.60
252     2003       200            Spices, basil, dried (Ocimum basilicum)   89.80
307     2066       200                                   Spearmint, dried   87.47
272     2023       200        Spices, marjoram, dried (Origanum majorana)   82.71
1983    8504       800  Cereals ready-to-eat, RALSTON Enriched Wheat B...   67.67
8215   31019      1100  Seaweed, Canadian Cultivated EMI-TSUNOMATA, dr...   66.38
263     2014       200               Spices, cumin seed (Cuminum cyminum)   66.36
1790    8028       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-B...   62.10
1821    8077       800  Cereals ready-to-eat, GENERAL MILLS, Whole Gra...   60.00
1808    8058       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODU...   60.00
291     2043       200        Spices, turmeric, ground (Curcuma longa L.)   55.00
3282   11625      1100                              Parsley, freeze-dried   53.90
1962    8451       800         Cereals, QUAKER, Quick Oats with Iron, Dry   49.45
266     2017       200      Spices, dill weed, dried (Anethum graveolens)   48.78
256     2007       200             Spices, celery seed (Apium graveolens)   44.90
253     2004       200                  Spices, bay leaf (Laurus nobilis)   43.00
1875    8177       800               Cereals, MALT-O-MEAL, chocolate, dry   42.88
261     2012       200  Spices, coriander leaf, dried (Coriandrum sati...   42.46
1959    8444       800  Cereals, QUAKER, Instant Grits, Redeye Gravy &...   42.03
2082    8675       800  Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDER...   41.38
1975    8488       800  Cereals, MALT-O-MEAL, Farina Hot Wheat Cereal,...   40.93
1832    8092       800   Cereals, QUAKER, corn grits, instant, plain, dry   38.75
1984    8505       800        Cereals ready-to-eat, RALSTON Corn Biscuits   38.37
2057    8643       800     Cereals ready-to-eat, GENERAL MILLS, Honey KIX   38.20
1961    8450       800  Cereals, QUAKER, Instant Grits, Ham 'n' Cheese...   38.20
288     2039       200        Spices, savory, ground (Satureja hortensis)   37.88
