|NDB_No|FdGrp_Cd|Long_Desc|SE
3640|12078|1200|Nuts, brazilnuts, dried, unblanched (Bertholletia excelsa)|1917.0
8436|35226|3500|Sea lion, Steller, liver (Alaska Native) (Eumetopias jubatus)|693.0
3732|12638|1200|Nuts, mixed nuts, oil roasted, without peanuts, with salt added|421.5
2581|10107|1000|Pork, fresh, variety meats and by-products, kidneys, cooked, braised|311.5
8437|35227|3500|Sea lion, Steller, kidney (Alaska Native) (Eumetopias jubatus)|274.0
5294|17196|1700|Lamb, variety meats and by-products, kidneys, cooked, braised|218.8
273|2024|200|Spices, mustard seed, ground (Sinapis alba and Brassica juncea)|208.1
8412|35184|3500|Smelt, dried (Alaska Native)|194.0
216|1258|100|Egg, white, dried, stabilized, glucose reduced|192.0
2580|10106|1000|Pork, fresh, variety meats and by-products, kidneys, raw|190.0
3785|13324|1300|Beef, variety meats and by-products, kidneys, cooked, simmered|168.0
121|1133|100|Egg, whole, dried|164.7
4708|15231|1500|Mollusks, oyster, Pacific, cooked, moist heat|154.0
4499|15018|1500|Fish, cod, Atlantic, dried and salted|147.8
1023|5236|500|Turkey, young hen, skin only, cooked, roasted|144.1
3784|13323|1300|Beef, variety meats and by-products, kidneys, raw|141.0
125|1137|100|Egg, yolk, dried|139.3
3741|12738|1200|Nuts, mixed nuts, oil roasted, without peanuts, lightly salted|139.1
130|1144|100|Egg substitute, powder|127.7
5293|17195|1700|Lamb, variety meats and by-products, kidneys, raw|126.9
151|1173|100|Egg, white, dried|125.1
124|1136|100|Egg, white, dried, powder, stabilized, glucose reduced|125.1
1861|8146|800|Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat|123.1
1865|8157|800|Cereals ready-to-eat, wheat, puffed, fortified|123.1
8438|35228|3500|Sea lion, Steller, heart (Alaska Native) (Eumetopias jubatus)|122.0
122|1134|100|Egg, whole, dried, stabilized, glucose reduced|121.1
8440|35230|3500|Sea lion, Steller, meat with fat (Alaska Native) (Eumetopias jubatus)|119.0
178|1210|100|Egg Mix, USDA Commodity|118.0
123|1135|100|Egg, white, dried, flakes, stabilized, glucose reduced|116.8
5299|17201|1700|Lamb, variety meats and by-products, liver, cooked, pan-fried|116.1
8393|35165|3500|Fish, whitefish, dried (Alaska Native)|113.0
8439|35229|3500|Sea lion, Steller, meat (Alaska Native) (Eumetopias jubatus)|111.8
5298|17200|1700|Lamb, variety meats and by-products, liver, cooked, braised|111.4
4698|15221|1500|Fish, tuna, yellowfin, fresh, cooked, dry heat|108.2
7499|23421|1300|Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled|105.2
5461|17364|1700|Lamb, New Zealand, imported, kidney, cooked, soaked and fried|105.0
8408|35180|3500|Steelhead trout, dried, flesh (Shoshone Bannock)|105.0
3722|12540|1200|Seeds, sunflower seed butter, with salt added|104.4
3629|12040|1200|Seeds, sunflower seed butter, without salt|104.4
843|5021|500|Chicken, broilers or fryers, giblets, cooked, fried|104.2
8399|35171|3500|Fish, salmon, chum, dried (Alaska Native)|103.8
7501|23423|1300|Beef, New Zealand, imported, variety meats and by-products, kidney, raw|103.3
8291|35009|3500|Whale, beluga, meat, dried (Alaska Native) (Delphinapterus leucas)|103.0
998|5178|500|Turkey, liver, all classes, cooked, simmered|102.3
938|5116|500|Chicken, roasting, giblets, cooked, simmered|100.1
5296|17198|1700|Veal, variety meats and by-products, kidneys, cooked, braised|100.0
960|5138|500|Chicken, capons, giblets, cooked, simmered|95.0
5464|17367|1700|Lamb, New Zealand, imported, kidney, raw|93.6
8388|35158|3500|Fish, whitefish, eggs (Alaska Native)|92.8
3795|13334|1300|Beef, variety meats and by-products, spleen, cooked, braised|91.4
8392|35164|3500|Seal, bearded (Oogruk), meat, dried, in oil (Alaska Native)|90.8
4605|15127|1500|Fish, tuna, fresh, yellowfin, raw (Thunnus albacares (Bonnaterre))|90.6
950|5128|500|Chicken, stewing, giblets, cooked, simmered|90.4
4707|15230|1500|Mollusks, octopus, common, cooked, moist heat|89.6
4642|15165|1500|Mollusks, mussel, blue, cooked, moist heat|89.6
4706|15229|1500|Mollusks, cuttlefish, mixed species, cooked, moist heat|89.6
4655|15178|1500|Mollusks, whelk, unspecified, cooked, moist heat|89.6
6529|20066|2000|Semolina, enriched|89.4
6539|20076|2000|Wheat, durum (Triticum durum Desf.)|89.4
1957|8435|800|Cereals ready-to-eat, UNCLE SAM CEREAL|88.3
4709|15232|1500|Fish, roughy, orange, cooked, dry heat|88.3
1116|5661|500|Chicken, liver, all classes, cooked, pan-fried|88.2
4481|14654|1400|Beverages, nutritional shake mix, high protein, powder|87.5
5297|17199|1700|Lamb, variety meats and by-products, liver, raw|82.4
850|5028|500|Chicken, liver, all classes, cooked, simmered|82.4
6587|20138|2000|Wheat, KAMUT khorasan, uncooked (Triticum turgidum subsp. turanicum (Jakubz.))|81.5
5315|17217|1700|Veal, variety meats and by-products, spleen, cooked, braised|81.2
4661|15184|1500|Fish, tuna, light, canned in water, without salt, drained solids|80.4
5295|17197|1700|Veal, variety meats and by-products, kidneys, raw|80.0
3626|12037|1200|Seeds, sunflower seed kernels, dry roasted, without salt|79.3
3718|12536|1200|Seeds, sunflower seed kernels from shell, dry roasted, with salt added|79.3
3719|12537|1200|Seeds, sunflower seed kernels, dry roasted, with salt added|79.3
6541|20078|2000|Wheat germ, crude|79.2
6607|20409|2000|Noodles, egg, dry, unenriched|78.8
6562|20109|2000|Noodles, egg, dry, enriched|78.8
3720|12538|1200|Seeds, sunflower seed kernels, oil roasted, with salt added|78.2
3627|12038|1200|Seeds, sunflower seed kernels, oil roasted, without salt|78.2
6540|20077|2000|Wheat bran, crude|77.6
6574|20124|2000|Pasta, whole-wheat, dry|77.6
4723|15246|1500|Mollusks, oyster, eastern, farmed, cooked, dry heat|77.5
4648|15171|1500|Mollusks, oyster, Pacific, raw (Crassostrea gigas (Thunberg))|77.0
6647|20653|2000|Pasta, whole grain, 51% whole wheat, remaining enriched semolina, dry|76.8
4552|15071|1500|Fish, rockfish, Pacific, mixed species, cooked, dry heat|76.2
4600|15119|1500|Fish, tuna, light, canned in oil, drained solids|76.0
8417|35190|3500|Salmon, red (sockeye), filets with skin, smoked (Alaska Native)|76.0
4660|15183|1500|Fish, tuna, light, canned in oil, without salt, drained solids|76.0
5725|18219|1800|Crackers, matzo, whole-wheat|75.1
8784|83110|1500|Fish, mackerel, salted|73.4
4626|15148|1500|Crustaceans, lobster, northern, cooked, moist heat|73.1
2589|10116|1000|Pork, fresh, variety meats and by-products, pancreas, cooked, braised|72.8
992|5172|500|Turkey, whole, giblets, cooked, simmered|71.1
1859|8144|800|Cereals, whole wheat hot natural cereal, dry|70.7
6534|20071|2000|Wheat, hard red spring (Triticum aestivum L.)|70.7
1857|8142|800|Cereals, WHEATENA, dry|70.7
6535|20072|2000|Wheat, hard red winter (Triticum aestivum L.)|70.7
4601|15121|1500|Fish, tuna, light, canned in water, drained solids|70.6
6584|20135|2000|Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry|69.4
997|5177|500|Turkey, liver, all classes, raw|68.7
4592|15111|1500|Fish, swordfish, cooked, dry heat|68.5
4483|15002|1500|Fish, anchovy, european, canned in oil, drained solids|68.1
972|5150|500|Goose, liver, raw|68.1
2584|10111|1000|Pork, fresh, variety meats and by-products, liver, cooked, braised|67.5
4160|14055|1400|Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-2-1 Plan,|67.5
4153|14047|1400|Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan|67.3
1966|8462|800|Cereals ready-to-eat, KASHI, ORGANIC PROMISE Autumn Wheat|67.3
965|5143|500|Duck, domesticated, liver, raw|67.0
4554|15073|1500|Fish, roughy, orange, raw (Hoplostethus atlanticus)|66.7
4645|15168|1500|Mollusks, oyster, eastern, cooked, breaded and fried|66.5
4663|15186|1500|Fish, tuna, white, canned in water, without salt, drained solids|65.7
4604|15126|1500|Fish, tuna, white, canned in water, drained solids|65.7
4493|15012|1500|Fish, caviar, black and red, granular|65.5
2691|10861|1000|Pork, cured, bacon, cooked, microwaved|65.1
1826|8084|800|Cereals ready-to-eat, wheat germ, toasted, plain|65.0
5309|17211|1700|Lamb, variety meats and by-products, pancreas, cooked, braised|64.8
443|3184|300|Babyfood, cereal, whole wheat, with apples, dry fortified|64.7
4296|14236|1400|Beverages, coffee substitute, cereal grain beverage, powder|64.1
4637|15159|1500|Mollusks, clam, mixed species, cooked, moist heat|64.0
4722|15245|1500|Mollusks, oyster, eastern, farmed, raw (Crassostrea virginica (Gmelin))|63.7
4625|15147|1500|Crustaceans, lobster, northern, raw (Homarus americanus Milne-Edwards)|63.6
6576|20126|2000|Spaghetti, spinach, dry|63.5
6609|20420|2000|Pasta, dry, unenriched|63.2
