row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
3541   11931      1100                  Peppers, sweet, red, freeze-dried    3863.0
3314   11683      1100                                 Carrot, dehydrated    3423.0
3273   11615      1100                               Chives, freeze-dried    3415.0
277     2028       200                  Spices, paprika (Capsicum annuum)    2463.0
280     2031       200  Spices, pepper, red or cayenne (Capsicum frute...    2081.0
3589   11982      1100                            Peppers, pasilla, dried    1788.0
2019    8580       800  Incaparina, dry mix (corn and soy flours), unp...    1770.0
258     2009       200                               Spices, chili powder    1483.0
3581   11974      1100                 Grape leaves, raw (Vitis vinifera)    1376.0
1842    8106       800              Cereals, CREAM OF WHEAT, instant, dry    1341.0
3571   11962      1100                      Peppers, hot chile, sun-dried    1324.0
1885    8204       800  Cereals ready-to-eat, chocolate-flavored frost...    1324.0
1986    8507       800      Cereals ready-to-eat, RALSTON Crispy Hexagons    1256.0
1794    8032       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...    1250.0
1782    8014       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA...    1210.0
4881   16155      1600  Peanut butter, smooth, vitamin and mineral for...    1172.0
4882   16156      1600  Peanut butter, chunky, vitamin and mineral for...    1172.0
1813    8065       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE ...    1136.0
1789    8025       800           Cereals ready-to-eat, RALSTON CRISP RICE    1136.0
1984    8505       800        Cereals ready-to-eat, RALSTON Corn Biscuits    1092.0
1982    8501       800  Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO...    1090.0
1820    8074       800             Cereals ready-to-eat, RALSTON TASTEEOS    1071.0
3212   11517      1100  Sweet potato, frozen, cooked, baked, without salt    1043.0
7988   28185      1800  KELLOGG'S, POP-TARTS MINI CRISPS, Frosted Stra...    1026.0
3585   11978      1100                              Peppers, ancho, dried    1022.0
1781    8013       800      Cereals ready-to-eat, GENERAL MILLS, CHEERIOS     990.0
1985    8506       800          Cereals ready-to-eat, RALSTON Corn Flakes     981.0
1802    8047       800         Cereals ready-to-eat, QUAKER, KING VITAMAN     968.0
3207   11508      1100  Sweet potato, cooked, baked in skin, flesh, wi...     961.0
3297   11655      1100                               Carrot juice, canned     956.0
1895    8225       800  Cereals, QUAKER, Instant Oatmeal, fruit and cr...     943.0
1915    8272       800  Cereals ready-to-eat, GENERAL MILLS, CINNAMON ...     918.0
7909   28105      1800        KEEBLER, GRIPZ, Cinnamon Grahams, bite-size     901.0
