Long_Desc                                                                  VITA_RAE
Peppers, sweet, red, freeze-dried                                          3863.0
Carrot, dehydrated                                                         3423.0
Chives, freeze-dried                                                       3415.0
Spices, paprika (Capsicum annuum)                                          2463.0
Spices, pepper, red or cayenne (Capsicum frutescens or Capsicum annuum     2081.0
Peppers, pasilla, dried                                                    1788.0
Incaparina, dry mix (corn and soy flours), unprepared                      1770.0
Spices, chili powder                                                       1483.0
Grape leaves, raw (Vitis vinifera)                                         1376.0
Cereals, CREAM OF WHEAT, instant, dry                                      1341.0
Peppers, hot chile, sun-dried                                              1324.0
Cereals ready-to-eat, chocolate-flavored frosted puffed corn               1324.0
Cereals ready-to-eat, RALSTON Crispy Hexagons                              1256.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES             1250.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES                    1210.0
Peanut butter, smooth, vitamin and mineral fortified                       1172.0
Peanut butter, chunky, vitamin and mineral fortified                       1172.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES                     1136.0
Cereals ready-to-eat, RALSTON CRISP RICE                                   1136.0
Cereals ready-to-eat, RALSTON Corn Biscuits                                1092.0
Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES                       1090.0
Cereals ready-to-eat, RALSTON TASTEEOS                                     1071.0
Sweet potato, frozen, cooked, baked, without salt                          1043.0
KELLOGG'S, POP-TARTS MINI CRISPS, Frosted Strawberry Baked Bites           1026.0
Peppers, ancho, dried                                                      1022.0
Cereals ready-to-eat, GENERAL MILLS, CHEERIOS                              990.0
Cereals ready-to-eat, RALSTON Corn Flakes                                  981.0
Cereals ready-to-eat, QUAKER, KING VITAMAN                                 968.0
Sweet potato, cooked, baked in skin, flesh, without salt                   961.0
Carrot juice, canned                                                       956.0
Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry             943.0
Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH                 918.0
KEEBLER, GRIPZ, Cinnamon Grahams, bite-size                                901.0
Cereals ready-to-eat, GENERAL MILLS, KIX                                   879.0
Cereals ready-to-eat, GENERAL MILLS, Honey KIX                             868.0
Tomato powder                                                              862.0
Carrots, cooked, boiled, drained, with salt                                852.0
Carrots, cooked, boiled, drained, without salt                             852.0
Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS                          847.0
Carrots, frozen, cooked, boiled, drained, without salt                     846.0
Carrots, frozen, cooked, boiled, drained, with salt                        846.0
Carrots, raw (Daucus carota)                                               835.0
Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS                    834.0
Cereals ready-to-eat, POST, FRUITY PEBBLES                                 833.0
Cereals ready-to-eat, POST, GOLDEN CRISP                                   832.0
Sweet potato, frozen, cooked, baked, with salt                             821.0
Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commo     814.0
Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted           806.0
Sweet potato, cooked, boiled, without skin, with salt                      787.0
Sweet potato, cooked, boiled, without skin                                 787.0
Pumpkin, canned, without salt                                              778.0
Pumpkin, canned, with salt                                                 778.0
Cereals ready-to-eat, POST, COCOA PEBBLES                                  776.0
Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES                        776.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flake     776.0
Cereals ready-to-eat, POST, GRAPE-NUTS Flakes                              775.0
Cereals, oats, instant, fortified, plain, dry                              772.0
KASHI, H2H Woven Wheat Cracker, Roasted Garlic                             751.0
KASHI, H2H Woven Wheat Cracker, Original                                   751.0
Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst, strawberr     750.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K, Cinnamon Pecan         750.0
Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond                  749.0
Cereals ready-to-eat, GENERAL MILLS, Cinnamon CHEX                         749.0
Cereals ready-to-eat, POST Bran Flakes                                     749.0
Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches           748.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19                        748.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Blueberry               745.0
Cereals ready-to-eat, POST, ALPHA-BITS                                     741.0
Cereals ready-to-eat, Post, Waffle Crisp                                   740.0
Kale, frozen, cooked, boiled, drained, with salt                           735.0
Kale, frozen, cooked, boiled, drained, without salt                        735.0
Dandelion greens, cooked, boiled, drained, with salt                       727.0
Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight               725.0
Carrots, frozen, unprepared                                                710.0
Sweet potato, raw, unprepared (Ipomoea batatas)                            709.0
Cereals ready-to-eat, KELLOGG, SPECIAL K, Fruit & Yogurt                   702.0
Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS                             700.0
Cereals, oats, instant, fortified, maple and brown sugar, dry              692.0
Carrots, baby, raw (Daucus carota)                                         690.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART START Strong Heart Anti     688.0
Kale, cooked, boiled, drained, without salt                                681.0
Kale, cooked, boiled, drained, with salt                                   681.0
